dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587735241181102339,1237660962406006998,2.12672727677849E-06,146.32745553,38.3385981,3.134762,7.34691
587735343716041386,1237661064940945720,1.675975331463E-06,121.83902537,5.60024069,1.163453,3.213835
587735343717417471,1237661064942322163,7.27377884436873E-06,124.91488283,6.19038544,2.458087,6.148025
587735343717417471,1237661064942322163,7.27377884436873E-06,124.91488283,6.19038544,2.458087,6.148025
587735346962563243,1237661068187468000,2.44360775734671E-06,180.26497029,13.76027346,1.911145,4.93521
587735348573175897,1237661069798080585,7.1417538560938E-07,180.18955628,14.96768598,1.197445,3.570986
587735348573175897,1237661069798080585,7.1417538560938E-07,180.18955628,14.96768598,1.197445,3.570986
587735348573175897,1237661069798080585,7.1417538560938E-07,180.18955628,14.96768598,1.197445,3.570986
587735349645475929,1237661070870380605,5.33005986847116E-06,176.75841567,15.8603265,1.566783,4.172453
587735349645475929,1237661070870380605,5.33005986847116E-06,176.75841567,15.8603265,1.566783,4.172453
587735349645475929,1237661070870380605,5.33005986847116E-06,176.75841567,15.8603265,1.566783,4.172453
587735429618729062,1237661150843633749,2.95041075092919E-06,202.46924848,48.37078114,2.309181,6.472979
587735664777560194,1237661386002464894,1.04725667087661E-05,236.71720792,42.91460747,1.692462,4.40295
587735666378080264,1237661387602985066,8.51545172106154E-05,206.67879311,55.84400768,1.367691,4.173568
587735666378080264,1237661387602985066,8.51545172106154E-05,206.67879311,55.84400768,1.367691,4.173568
587735666378080264,1237661387602985066,8.51545172106154E-05,206.67879311,55.84400768,1.367691,4.173568
587735666379653297,1237661387604557997,8.74756798163516E-05,212.76218092,54.53165744,3.465627,7.404826
587735695369764996,1237661416594669706,8.37796781419653E-05,184.07134022,56.85141889,2.532331,6.848845
587735696445210766,1237661417670115448,6.72371651390024E-05,191.08780003,57.52171892,1.447152,3.324587
587735696445210766,1237661417670115448,6.72371651390024E-05,191.08780003,57.52171892,1.447152,3.324587
587735744227836216,1237661465452740985,8.57744805842167E-06,243.1757873,30.83458692,1.627054,4.598429
